STATION,NAME,DATE,AWND,PRCP,SNOW,TMAX,TMIN
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/16/08,21.7,0,0,73,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/17/08,8.72,0,0,69,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/18/08,10.51,0,0,75,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/19/08,5.82,0.06,0,65,47
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/20/08,5.82,0,0,72,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/21/08,6.71,0,0,75,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/22/08,6.93,0,0,74,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/23/08,10.96,0,0,74,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/24/08,16.55,0.07,0,74,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/25/08,18.12,0.23,0,82,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/26/08,18.34,0,0,57,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/27/08,7.38,0,0,54,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/28/08,7.61,0.41,0,46,35
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/29/08,5.82,0,0,44,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",4/30/08,8.95,0,0,57,31
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/1/08,11.41,0,0,74,48
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/2/08,15.21,1.28,0,74,51
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/3/08,12.75,0,0,56,43
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/4/08,6.26,0,0,65,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/5/08,6.93,0,0,75,50
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/6/08,7.16,0,0,81,46
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/7/08,12.3,0.76,0,70,49
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/8/08,12.53,0,0,59,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/9/08,6.93,0,0,58,41
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/10/08,6.26,0,0,61,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/11/08,17.67,0.95,0,58,46
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/12/08,7.83,0,0,56,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/13/08,15.88,0.08,0,73,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/14/08,9.62,0.02,0,64,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/15/08,7.83,0,0,57,43
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/16/08,9.4,0,0,73,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/17/08,14.76,0.12,0,73,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/18/08,8.28,0,0,55,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/19/08,5.82,0,0,60,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/20/08,9.17,0,0,66,47
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/21/08,9.17,0,0,66,41
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/22/08,9.84,0,0,59,45
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/23/08,10.96,0,0,57,46
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/24/08,8.5,0,0,67,40
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/25/08,11.86,0,0,78,44
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/26/08,11.86,0.48,0,81,47
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/27/08,19.24,0,0,50,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/28/08,8.72,0,0,62,43
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/29/08,4.25,0.01,0,67,42
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/30/08,10.51,0.4,0,77,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",5/31/08,11.86,0,0,79,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/1/08,5.37,0,0,74,53
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/2/08,4.92,0,0,86,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/3/08,9.17,0.52,0,69,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/4/08,5.14,0,0,78,54
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/5/08,14.09,0.64,0,87,60
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/6/08,21.47,0,0,87,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/7/08,13.2,0.11,0,85,69
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/8/08,12.3,1.24,0,85,64
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/9/08,7.61,0.14,0,74,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/10/08,9.62,0,0,79,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/11/08,10.07,0,0,86,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/12/08,16.33,0,0,91,73
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/13/08,9.84,0.39,0,82,65
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/14/08,8.72,0,0,84,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/15/08,9.84,0.18,0,81,61
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/16/08,11.18,0,0,72,59
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/17/08,11.18,0,0,76,55
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/18/08,7.38,0,0,77,56
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/19/08,5.14,0,0,81,52
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",6/20/08,7.83,0.09,0,82,58
